Furniture_Type,Material,Condition,Age_Years,Original_Price_INR,Brand,Location_Type,Selling_Price_INR
Cabinet,Metal,Poor,10,40236,Godrej,Urban,58468
Bed,Wood,Excellent,1,70882,IKEA,Semi-Urban,2716
Wardrobe,Metal,Good,0,16984,Local,Rural,46370
Cabinet,Metal,Poor,5,4042,Godrej,Urban,21314
Table,Plastic,Average,12,16063,Godrej,Semi-Urban,45785
Wardrobe,Plastic,Excellent,8,56918,Urban Ladder,Semi-Urban,12023
Wardrobe,Glass,Poor,2,23490,Nilkamal,Rural,31807
Cabinet,Wood,Good,4,43967,Local,Rural,6168
Chair,Metal,Good,8,59472,Nilkamal,Rural,29699
Table,Wood,Good,13,75838,Local,Rural,28546
Cabinet,Fabric,Good,13,24876,IKEA,Semi-Urban,38502
Table,Metal,Excellent,8,84830,Nilkamal,Urban,65190
Table,Wood,Poor,6,63650,Godrej,Semi-Urban,51841
Wardrobe,Glass,Excellent,13,5302,Urban Ladder,Rural,18309
Bed,Glass,Excellent,3,22017,Local,Urban,17306
Table,Metal,Good,10,45311,Urban Ladder,Semi-Urban,31332
Desk,Fabric,Average,1,3361,Local,Urban,6529
Wardrobe,Glass,Good,1,41261,Godrej,Semi-Urban,6564
Chair,Glass,Average,3,20171,Godrej,Urban,22741
Bed,Fabric,Excellent,0,44226,Godrej,Semi-Urban,50882
Desk,Wood,Good,13,32327,Godrej,Semi-Urban,35262
Desk,Glass,Good,3,73628,Godrej,Rural,40187
Chair,Plastic,Excellent,11,85473,Urban Ladder,Semi-Urban,59633
Bed,Glass,Good,13,67223,IKEA,Rural,64355
Wardrobe,Wood,Poor,10,82353,Nilkamal,Semi-Urban,64840
Sofa,Wood,Average,5,78315,Urban Ladder,Urban,53277
Bed,Metal,Average,5,73052,Nilkamal,Urban,59880
Chair,Plastic,Average,6,66624,IKEA,Rural,65011
Desk,Wood,Good,4,17530,Local,Semi-Urban,7541
Wardrobe,Fabric,Poor,8,12310,IKEA,Rural,34853
Bed,Plastic,Good,1,37281,IKEA,Urban,56257
Sofa,Plastic,Average,1,62270,Local,Semi-Urban,1921
Sofa,Fabric,Good,3,49104,Nilkamal,Rural,43773
Table,Glass,Average,14,24735,Godrej,Urban,63982
Table,Fabric,Excellent,3,75285,Local,Urban,21726
Cabinet,Fabric,Average,3,10005,Local,Semi-Urban,15439
Chair,Glass,Excellent,0,60564,IKEA,Semi-Urban,41727
Bed,Glass,Excellent,3,54496,Local,Semi-Urban,24405
Bed,Glass,Excellent,11,32898,Urban Ladder,Rural,68213
Cabinet,Glass,Average,4,24708,Godrej,Rural,35934
Desk,Glass,Poor,8,48024,IKEA,Semi-Urban,8457
Desk,Fabric,Average,2,17412,Nilkamal,Semi-Urban,64925
Cabinet,Metal,Good,14,57821,Nilkamal,Semi-Urban,10206
Desk,Metal,Good,2,32378,Nilkamal,Urban,37597
Table,Wood,Poor,13,81580,Nilkamal,Semi-Urban,63356
Bed,Metal,Poor,4,34309,Nilkamal,Rural,63039
Cabinet,Metal,Poor,9,86775,IKEA,Urban,27493
Bed,Fabric,Excellent,5,5435,Urban Ladder,Semi-Urban,55626
Sofa,Glass,Poor,2,6386,Urban Ladder,Rural,55824
Table,Glass,Poor,0,73976,Nilkamal,Urban,52666
Wardrobe,Fabric,Poor,9,48503,Urban Ladder,Urban,15406
Table,Metal,Average,7,74972,Godrej,Rural,40943
Cabinet,Fabric,Good,11,75939,Urban Ladder,Rural,28991
Wardrobe,Wood,Good,0,46464,Local,Urban,64287
Sofa,Glass,Poor,1,71475,Nilkamal,Rural,31035
Cabinet,Plastic,Good,2,85758,Local,Urban,59662
Chair,Wood,Average,5,30277,Local,Urban,39950
Bed,Wood,Good,3,89679,Nilkamal,Urban,20177
Sofa,Fabric,Excellent,3,57012,IKEA,Urban,44661
